,Country,Region,Gen_2019,Log_GDP_2020,Gen_2020,Log_GDP_2021,Gen_2021,Log_GDP_2019,Pop_2020
123,Ukraine,Commonwealth of Independent States,0.187,9.010690689,-0.030933706,9.436,-0.011,9.458003997802734,44134693.0
124,Ethiopia,Sub-Saharan Africa,0.209,7.509385586,0.043377332,7.694,0.082,7.7051310539245605,114963583.0
125,Swaziland,Sub-Saharan Africa,0.074,9.16267395,-0.19920142,9.065,-0.185,9.069709777832031,
126,Uganda,Sub-Saharan Africa,0.252,7.500389576,0.099487431,7.677,0.122,7.687652587890625,45741000.0
127,Egypt,Middle East and North Africa,0.076,9.316541672,-0.196878314,9.367,-0.182,9.372735977172852,
128,Zambia,Sub-Saharan Africa,0.247,8.224720001,0.078037128,8.145,0.061,8.154642105102539,18383956.0
129,Togo,Sub-Saharan Africa,0.177,7.357711315,0.002667875,7.362,0.032,7.375211238861084,8278737.0
130,India,South Asia,0.2,8.849823952,0.057551607,8.755,0.089,8.817933082580566,1380004385.0
131,Liberia,Sub-Saharan Africa,0.233,7.054380417,0.04227322,7.288,0.05,7.263903617858887,5057677.0
132,Comoros,Sub-Saharan Africa,0.275,7.833630085,0.090008408,8.031,0.082,8.033134460449219,869595.0
133,Madagascar,Sub-Saharan Africa,0.169,7.281685829,-0.011823639,7.396,-0.005,7.4062371253967285,27691019.0
134,Lesotho,Sub-Saharan Africa,0.107,7.960488319,-0.145732045,7.926,-0.131,7.925776958465576,2142252.0
135,Burundi,Sub-Saharan Africa,0.176,6.492642403,-0.017551597,6.635,-0.024,,11890781.0
136,Zimbabwe,Sub-Saharan Africa,0.151,7.865711689,-0.072063953,7.943,-0.047,7.950131893157959,14862927.0
137,Haiti,Latin America and Caribbean,0.419,7.411329269,0.40053457,7.477,0.422,,11402533.0
138,Botswana,Sub-Saharan Africa,0.025,9.711203575,-0.250394493,9.782,-0.246,9.785069465637207,2351625.0
139,Malawi,Sub-Saharan Africa,0.218,7.062226295,0.021433279,6.958,0.038,6.965763092041016,19129955.0
140,Yemen,Middle East and North Africa,0.108,7.759682655,-0.157735437,7.578,-0.147,,
141,Rwanda,Sub-Saharan Africa,0.217,7.600104332,0.055483952,7.676,0.061,7.7080607414245605,12952209.0
142,Tanzania,Sub-Saharan Africa,0.276,7.967665195,0.109668687,7.876,0.183,7.886239528656006,59734213.0
143,Afghanistan,South Asia,0.158,7.462860584,-0.0964294,7.695,-0.102,7.6972479820251465,38928341.0
